tanggal,forecast_value,model
2025-12-31,82.47605606700053,ARIMA
2026-01-01,88.86919301098585,ARIMA
2026-01-02,89.81032412920423,ARIMA
2026-01-03,88.74690394882344,ARIMA
2026-01-04,79.34509286447218,ARIMA
2026-01-05,77.2713418248717,ARIMA
2026-01-06,79.01722404089736,ARIMA
2026-01-07,83.83421480909085,ARIMA
2026-01-08,87.52292025290298,ARIMA
2026-01-09,88.2596208170051,ARIMA
2026-01-10,84.09939511970639,ARIMA
2026-01-11,80.57349951931832,ARIMA
2026-01-12,79.34389392477979,ARIMA
2026-01-13,81.32772431449817,ARIMA
2026-01-14,84.55467055166937,ARIMA
2026-01-15,86.60394280883561,ARIMA
2026-01-16,85.6339203500099,ARIMA
2026-01-17,83.16801391748236,ARIMA
2026-01-18,81.06490838618463,ARIMA
2026-01-19,80.9594929849827,ARIMA
2026-01-20,82.66931570418528,ARIMA
2026-01-21,84.7057919942289,ARIMA
2026-01-22,85.36408157365618,ARIMA
2026-01-23,84.40301608230885,ARIMA
2026-01-24,82.71207938843159,ARIMA
2026-01-25,81.69844393210404,ARIMA
2026-01-26,82.05312926246113,ARIMA
2026-01-27,83.34545327384252,ARIMA
2026-01-28,84.44100801542909,ARIMA
2026-01-29,84.54317325532315,ARIMA
